Gemeente;Stad/Gem.;Provincie;Oppervlakte (km²);Aantal inwoners (01/01/2023);Deelgemeenten;Path
Maasmechelen;gem.;Limburg;76,28;39.914;Eisden, Leut, Mechelen-aan-de-Maas, Meeswijk, Opgrimbie, Vucht, Boorsem, Uikhoven;path216
Machelen;gem.;Vlaams-Brabant;11,59;16.486;Machelen, Diegem;path269
Maldegem;gem.;Oost-Vlaanderen;94,64;24.615;Maldegem, Adegem, Middelburg;path38
Malle;gem.;Antwerpen;51,99;16.007;Oostmalle, Westmalle;path153
Mechelen;stad;Antwerpen;65,19;88.614;Mechelen, Walem, Heffen, Hombeek, Leest, Muizen;path185
Meerhout;gem.;Antwerpen;36,29;10.348;Meerhout;path162
Meise;gem.;Vlaams-Brabant;34,82;20.239;Meise, Wolvertem;path255
Melle;gem.;Oost-Vlaanderen;15,21;11.960;Melle, Gontrode;path25
Menen;stad;West-Vlaanderen;33,07;34.322;Menen, Lauwe, Rekkem;path113
Merchtem;gem.;Vlaams-Brabant;36,72;17.740;Merchtem, Brussegem, Hamme;path254
Merelbeke;gem.;Oost-Vlaanderen;36,65;25.200;Merelbeke, Bottelare, Lemberge, Melsen, Munte, Schelderode;path24
Merksplas;gem.;Antwerpen;44,56;8.799;Merksplas;path135
Mesen;stad[3];West-Vlaanderen;3,58;1.074;Mesen;path104
Meulebeke;gem.;West-Vlaanderen;29,35;11.100;Meulebeke;path108
Middelkerke;gem.;West-Vlaanderen;75,65;19.755;Middelkerke, Wilskerke, Leffinge, Mannekensvere, Schore, Sint-Pieters-Kapelle, Slijpe, Lombardsijde, Westende;path65
Moerbeke;gem.;Oost-Vlaanderen;37,8;6.724;Moerbeke;path11
Mol;gem.;Antwerpen;114,26;38.159;Mol;path139
Moorslede;gem.;West-Vlaanderen;35,34;11.451;Moorslede, Dadizele;path99
Mortsel;stad;Antwerpen;7,78;26.391;Mortsel;path175
Nazareth;gem.;Oost-Vlaanderen;35,19;12.214;Nazareth, Eke;path33
Niel;gem.;Antwerpen;5,27;10.799;Niel;path166
Nieuwerkerken;gem.;Limburg;22,46;7.190;Nieuwerkerken, Binderveld, Kozen, Wijer;path230
Nieuwpoort;stad;West-Vlaanderen;31;11.493;Nieuwpoort, Ramskapelle, Sint-Joris;path64
Nijlen;gem.;Antwerpen;39,09;23.409;Nijlen, Bevel, Kessel;path189
